Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Pop Size,Mate Pct,Mutate Pct
5,1,GA,186.2,2.090944E7,2000,0.95,0.1
5,2,GA,186.2,2.345504E7,2000,0.95,0.1
5,4,GA,186.8,4.034042E7,2000,0.95,0.1
5,8,GA,186.4,7.203788E7,2000,0.95,0.1
5,16,GA,186.6,1.3324896E8,2000,0.95,0.1
5,32,GA,186.0,2.562221E8,2000,0.95,0.1
5,64,GA,186.2,5.0700108E8,2000,0.95,0.1
5,128,GA,186.2,1.00309428E9,2000,0.95,0.1
5,256,GA,186.0,2.01221662E9,2000,0.95,0.1
5,512,GA,186.0,4.0210228E9,2000,0.95,0.1
5,1024,GA,186.2,8.05546554E9,2000,0.95,0.1
5,2048,GA,186.0,1.637207712E10,2000,0.95,0.1
