Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Samples,Keep Pct
5,1,MIMIC,27.0,1.647444E7,2000,0.1
5,2,MIMIC,27.4,1.265082E7,2000,0.1
5,4,MIMIC,27.8,1.991346E7,2000,0.1
5,8,MIMIC,28.0,3.005384E7,2000,0.1
5,16,MIMIC,27.0,5.560398E7,2000,0.1
5,32,MIMIC,27.6,1.073969E8,2000,0.1
5,64,MIMIC,27.6,2.0895354E8,2000,0.1
5,128,MIMIC,27.4,4.3617408E8,2000,0.1
5,256,MIMIC,27.8,8.3864276E8,2000,0.1
5,512,MIMIC,27.4,1.60038348E9,2000,0.1
5,1024,MIMIC,27.4,3.29051974E9,2000,0.1
5,2048,MIMIC,27.6,6.46959572E9,2000,0.1
