Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Pop Size,Mate Pct,Mutate Pct
5,128,GA,4910,8.84E+09,2000,0.95,0.1
5,128,GA,4907.2,9.04E+09,2000,0.95,0.2
5,256,GA,4906.2,3.56E+09,500,0.75,0.1
5,256,GA,4907,3.66E+09,500,0.75,0.2
5,256,GA,4905,4.40E+09,500,0.95,0.1
5,256,GA,4906.4,4.42E+09,500,0.95,0.2
5,256,GA,4905.6,7.14E+09,1000,0.75,0.1
5,256,GA,4905.4,7.31E+09,1000,0.75,0.2
5,256,GA,4905.8,8.79E+09,1000,0.95,0.1
5,256,GA,4909.2,8.83E+09,1000,0.95,0.2
5,256,GA,4908.6,1.43E+10,2000,0.75,0.1
5,256,GA,4906.6,1.46E+10,2000,0.75,0.2
5,256,GA,4907,1.76E+10,2000,0.95,0.1
5,256,GA,4908.4,1.77E+10,2000,0.95,0.2
5,512,GA,4905.4,7.10E+09,500,0.75,0.1
5,512,GA,4905.8,7.31E+09,500,0.75,0.2
5,512,GA,4906.2,8.79E+09,500,0.95,0.1
5,512,GA,4903.4,8.84E+09,500,0.95,0.2
5,512,GA,4906.4,1.42E+10,1000,0.75,0.1
5,512,GA,4908.6,1.46E+10,1000,0.75,0.2
5,512,GA,4907.4,1.75E+10,1000,0.95,0.1
5,512,GA,4908,1.76E+10,1000,0.95,0.2
5,512,GA,4909.2,2.85E+10,2000,0.75,0.1
5,512,GA,4907.8,2.92E+10,2000,0.75,0.2
5,512,GA,4908.4,3.52E+10,2000,0.95,0.1
5,512,GA,4908.6,3.53E+10,2000,0.95,0.2
5,1024,GA,4903.6,1.42E+10,500,0.75,0.1
5,1024,GA,4904.6,1.45E+10,500,0.75,0.2
5,1024,GA,4904.8,1.75E+10,500,0.95,0.1
5,1024,GA,4904.8,1.82E+10,500,0.95,0.2
5,1024,GA,4905.6,2.87E+10,1000,0.75,0.1
5,1024,GA,4906.4,2.94E+10,1000,0.75,0.2
5,1024,GA,4906.4,3.54E+10,1000,0.95,0.1
5,1024,GA,4906,3.57E+10,1000,0.95,0.2
5,1024,GA,4908.6,5.76E+10,2000,0.75,0.1
5,1024,GA,4907,5.93E+10,2000,0.75,0.2
5,1024,GA,4907.4,7.07E+10,2000,0.95,0.1
5,1024,GA,4908.6,7.03E+10,2000,0.95,0.2
5,2048,GA,4907.2,1.46E+11,2000,0.95,0.1
