Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Initial Temp,Decay
5,8,SA,4891.8,342900.0,0.1,0.99
5,8,SA,4890.2,297380.0,0.1,0.999
5,8,SA,4888.4,306200.0,0.1,0.9999
5,8,SA,4886.8,283820.0,0.1,0.99999
5,8,SA,4890.8,287740.0,1.0,0.9
5,8,SA,4889.6,294480.0,1.0,0.99
5,8,SA,4892.0,310720.0,1.0,0.999
5,8,SA,4892.8,277540.0,1.0,0.9999
5,8,SA,4882.4,352840.0,1.0,0.99999
5,8,SA,4884.8,296000.0,10.0,0.9
5,8,SA,4881.0,355180.0,10.0,0.99
5,8,SA,4881.4,302260.0,10.0,0.999
5,8,SA,4878.4,296660.0,10.0,0.9999
5,8,SA,4887.0,278500.0,10.0,0.99999
5,8,SA,4886.0,302460.0,100.0,0.9
5,8,SA,4886.2,286920.0,100.0,0.99
5,8,SA,4884.6,281060.0,100.0,0.999
5,8,SA,4881.2,315740.0,100.0,0.9999
5,8,SA,4891.8,313140.0,100.0,0.99999
5,8,SA,4885.4,303200.0,1000.0,0.9
5,8,SA,4890.8,279920.0,1000.0,0.99
5,8,SA,4884.2,283640.0,1000.0,0.999
5,8,SA,4880.4,281040.0,1000.0,0.9999
5,8,SA,4882.2,278140.0,1000.0,0.99999
5,8,SA,4875.8,298900.0,10000.0,0.9
5,8,SA,4882.2,281260.0,10000.0,0.99
5,8,SA,4884.2,273640.0,10000.0,0.999
5,8,SA,4882.2,300520.0,10000.0,0.9999
5,8,SA,4882.4,347440.0,10000.0,0.99999
5,8,SA,4880.4,322180.0,100000.0,0.9
5,8,SA,4884.6,300060.0,100000.0,0.99
5,8,SA,4884.6,285900.0,100000.0,0.999
5,8,SA,4879.2,282980.0,100000.0,0.9999
5,8,SA,4883.2,284760.0,100000.0,0.99999
5,16,SA,4897.0,540500.0,0.1,0.9
5,16,SA,4898.8,551940.0,0.1,0.99
5,16,SA,4892.6,578000.0,0.1,0.999
5,16,SA,4894.4,548200.0,0.1,0.9999
5,16,SA,4896.2,543860.0,0.1,0.99999
5,16,SA,4891.0,645840.0,1.0,0.9
5,16,SA,4896.2,532600.0,1.0,0.99
5,16,SA,4894.6,619320.0,1.0,0.999
5,16,SA,4892.2,523400.0,1.0,0.9999
5,16,SA,4891.2,542380.0,1.0,0.99999
5,16,SA,4896.4,537280.0,10.0,0.9
5,16,SA,4888.0,544040.0,10.0,0.99
5,16,SA,4886.0,514880.0,10.0,0.999
5,16,SA,4890.8,569960.0,10.0,0.9999
5,16,SA,4887.6,526100.0,10.0,0.99999
5,16,SA,4886.8,526480.0,100.0,0.9
5,16,SA,4882.4,536500.0,100.0,0.99
5,16,SA,4888.6,584200.0,100.0,0.999
5,16,SA,4883.4,582700.0,100.0,0.9999
5,16,SA,4876.6,568960.0,100.0,0.99999
5,16,SA,4885.4,586020.0,1000.0,0.9
5,16,SA,4886.2,526280.0,1000.0,0.99
5,16,SA,4885.0,596760.0,1000.0,0.999
5,16,SA,4876.8,526260.0,1000.0,0.9999
5,16,SA,4880.0,567360.0,1000.0,0.99999
5,16,SA,4873.8,557980.0,10000.0,0.9
5,16,SA,4881.8,548560.0,10000.0,0.99
5,16,SA,4880.0,580720.0,10000.0,0.999
5,16,SA,4881.2,531400.0,10000.0,0.9999
5,16,SA,4877.2,567920.0,10000.0,0.99999
5,16,SA,4881.0,551380.0,100000.0,0.9
5,16,SA,4878.8,532220.0,100000.0,0.99
5,16,SA,4884.4,541920.0,100000.0,0.999
5,16,SA,4881.6,530000.0,100000.0,0.9999
5,16,SA,4879.4,546620.0,100000.0,0.99999
5,32,SA,4902.4,1127280.0,0.1,0.9
5,32,SA,4905.0,1131780.0,0.1,0.99
5,32,SA,4906.4,1051200.0,0.1,0.999
5,32,SA,4904.6,1086080.0,0.1,0.9999
5,32,SA,4905.6,1179160.0,0.1,0.99999
5,32,SA,4901.6,1054440.0,1.0,0.9
5,32,SA,4896.6,1074460.0,1.0,0.99
5,32,SA,4898.4,1088280.0,1.0,0.999
