Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Initial Temp,Decay
5,1,SA,0.2013654079144797,141900.0,1000.0,0.9
5,2,SA,0.23087901297667507,1740.0,1000.0,0.9
5,4,SA,0.21850679984438864,2380.0,1000.0,0.9
5,8,SA,0.1950893298695324,3760.0,1000.0,0.9
5,16,SA,0.22604794058597336,6500.0,1000.0,0.9
5,32,SA,0.21757860311917568,12840.0,1000.0,0.9
5,64,SA,0.2021163847203531,22760.0,1000.0,0.9
5,128,SA,0.33232307378235826,38860.0,1000.0,0.9
5,256,SA,0.3704137509473249,87160.0,1000.0,0.9
5,512,SA,0.37862806606719734,193840.0,1000.0,0.9
5,1024,SA,0.3792519109493141,450960.0,1000.0,0.9
5,2048,SA,0.37721156116841204,1041400.0,1000.0,0.9
5,4096,SA,0.37783540605052873,2040060.0,1000.0,0.9
5,8192,SA,0.37987575583143085,5149400.0,1000.0,0.9
5,16384,SA,0.3792457030131376,1.142228E7,1000.0,0.9
