Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Pop Size,Mate Pct,Mutate Pct
5,1,GA,28.0,6331560.0,2000,0.95,0.1
5,2,GA,28.0,7756480.0,2000,0.95,0.1
5,4,GA,28.0,1.409224E7,2000,0.95,0.1
5,8,GA,28.0,2.487262E7,2000,0.95,0.1
5,16,GA,28.0,4.493072E7,2000,0.95,0.1
5,32,GA,28.0,8.172334E7,2000,0.95,0.1
5,64,GA,27.8,1.6341374E8,2000,0.95,0.1
5,128,GA,28.0,3.4605542E8,2000,0.95,0.1
5,256,GA,28.0,6.9440992E8,2000,0.95,0.1
5,512,GA,28.0,1.29012354E9,2000,0.95,0.1
5,1024,GA,28.0,2.54212206E9,2000,0.95,0.1
5,2048,GA,28.0,5.13391366E9,2000,0.95,0.1
