Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Samples,Keep Pct
5,1,MIMIC,0.30793334729831906,2.11896E7,3000,0.2
5,2,MIMIC,0.3372350502039495,1.6854E7,3000,0.2
5,4,MIMIC,0.32619322826163427,2.394308E7,3000,0.2
5,8,MIMIC,0.32376049588212036,4.391774E7,3000,0.2
5,16,MIMIC,0.3783500110563048,7.887372E7,3000,0.2
5,32,MIMIC,0.3812629871166126,1.560324E8,3000,0.2
5,64,MIMIC,0.37060871660419736,2.9844338E8,3000,0.2
5,128,MIMIC,0.38452788565380414,6.2706568E8,3000,0.2
5,256,MIMIC,0.38356659832264756,1.29919884E9,3000,0.2
5,512,MIMIC,0.3758304765822558,2.40853626E9,3000,0.2
5,1024,MIMIC,0.3766638551605696,4.8919672E9,3000,0.2
5,2048,MIMIC,0.3839040407716874,1.15580795E10,3000,0.2
