Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Pop Size,Mate Pct,Mutate Pct
5,1,GA,0.04813797177021795,5550520.0,1000,0.5,0.1
5,1,GA,0.04958742806151049,4791880.0,1000,0.5,0.2
5,1,GA,0.049171776798003684,4480580.0,1000,0.75,0.1
5,1,GA,0.049558412702138246,3767400.0,1000,0.75,0.2
5,1,GA,0.04853351195072868,4137540.0,1000,0.95,0.1
5,1,GA,0.04956296590338862,4107580.0,1000,0.95,0.2
5,1,GA,0.05068586854733219,8970780.0,3000,0.5,0.1
5,1,GA,0.050234273613372814,8816780.0,3000,0.5,0.2
5,1,GA,0.05199370843490643,1.100546E7,3000,0.75,0.1
5,1,GA,0.0503136712011766,1.087802E7,3000,0.75,0.2
5,1,GA,0.05015996185220034,1.272966E7,3000,0.95,0.1
5,1,GA,0.050383994247332066,1.281982E7,3000,0.95,0.2
5,1,GA,0.05024431140739666,1.453102E7,5000,0.5,0.1
5,1,GA,0.0507349710571489,1.402788E7,5000,0.5,0.2
5,1,GA,0.051981676762480965,1.772196E7,5000,0.75,0.1
5,1,GA,0.05269263360594374,1.75004E7,5000,0.75,0.2
5,1,GA,0.05056659146943494,2.065692E7,5000,0.95,0.1
5,1,GA,0.050265951049660376,2.08007E7,5000,0.95,0.2
5,2,GA,0.053888967601440504,4939760.0,1000,0.5,0.1
5,2,GA,0.052317546728264684,4355360.0,1000,0.5,0.2
5,2,GA,0.05527473480510146,5932960.0,1000,0.75,0.1
5,2,GA,0.05471507634421422,6143860.0,1000,0.75,0.2
5,2,GA,0.057345929476123415,7136280.0,1000,0.95,0.1
5,2,GA,0.05460276133860994,7144960.0,1000,0.95,0.2
5,2,GA,0.05467918451565347,1.441462E7,3000,0.5,0.1
5,2,GA,0.05460594554304177,1.415534E7,3000,0.5,0.2
5,2,GA,0.05680486442857254,1.814714E7,3000,0.75,0.1
5,2,GA,0.055510305638343124,1.818826E7,3000,0.75,0.2
5,2,GA,0.0566324598742924,2.489146E7,3000,0.95,0.1
5,2,GA,0.0583128101670485,2.203966E7,3000,0.95,0.2
5,2,GA,0.055581820538092,2.344116E7,5000,0.5,0.1
5,2,GA,0.05591228198594047,2.392856E7,5000,0.5,0.2
