Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Pop Size,Mate Pct,Mutate Pct
5,32,GA,304,1.72E+08,2000,0.5,0.1
5,32,GA,299.2,1.85E+08,2000,0.5,0.2
5,32,GA,299.6,2.15E+08,2000,0.75,0.1
5,32,GA,298.4,2.19E+08,2000,0.75,0.2
5,32,GA,304.2,2.47E+08,2000,0.95,0.1
5,32,GA,303.4,2.52E+08,2000,0.95,0.2
5,32,GA,300.8,2.76E+08,3000,0.5,0.1
5,32,GA,300.6,2.81E+08,3000,0.5,0.2
5,32,GA,302,3.51E+08,3000,0.75,0.1
5,32,GA,302.8,3.34E+08,3000,0.75,0.2
5,32,GA,301.4,3.82E+08,3000,0.95,0.1
5,32,GA,303,3.86E+08,3000,0.95,0.2
5,64,GA,309.4,1.47E+08,1000,0.5,0.1
5,64,GA,308.6,1.52E+08,1000,0.5,0.2
5,64,GA,312.4,1.88E+08,1000,0.75,0.1
5,64,GA,310,1.91E+08,1000,0.75,0.2
5,64,GA,305.2,2.17E+08,1000,0.95,0.1
5,64,GA,314.8,2.22E+08,1000,0.95,0.2
5,64,GA,309.8,3.38E+08,2000,0.5,0.1
5,64,GA,312.6,3.43E+08,2000,0.5,0.2
5,64,GA,314,4.04E+08,2000,0.75,0.1
5,64,GA,311.4,4.13E+08,2000,0.75,0.2
5,64,GA,310,4.75E+08,2000,0.95,0.1
5,64,GA,311.6,4.75E+08,2000,0.95,0.2
5,64,GA,313.4,5.08E+08,3000,0.5,0.1
5,64,GA,313.6,5.21E+08,3000,0.5,0.2
5,64,GA,314.6,6.29E+08,3000,0.75,0.1
5,64,GA,314,6.47E+08,3000,0.75,0.2
5,64,GA,320.4,7.31E+08,3000,0.95,0.1
5,64,GA,312.6,7.38E+08,3000,0.95,0.2
5,128,GA,327.2,2.79E+08,1000,0.5,0.1
5,128,GA,321.6,2.95E+08,1000,0.5,0.2
5,128,GA,324,3.55E+08,1000,0.75,0.1
5,128,GA,326.2,3.70E+08,1000,0.75,0.2
5,128,GA,327.4,4.23E+08,1000,0.95,0.1
5,128,GA,331.8,4.29E+08,1000,0.95,0.2
5,128,GA,331.8,6.31E+08,2000,0.5,0.1
5,128,GA,330.4,6.42E+08,2000,0.5,0.2
5,128,GA,333.6,7.86E+08,2000,0.75,0.1
5,128,GA,331,8.00E+08,2000,0.75,0.2
5,128,GA,331.4,9.23E+08,2000,0.95,0.1
5,128,GA,328,9.35E+08,2000,0.95,0.2
5,128,GA,337.6,9.67E+08,3000,0.5,0.1
5,128,GA,335,1.01E+09,3000,0.5,0.2
5,128,GA,337,1.22E+09,3000,0.75,0.1
5,128,GA,335,1.25E+09,3000,0.75,0.2
5,128,GA,332.8,1.44E+09,3000,0.95,0.1
5,128,GA,336.2,1.44E+09,3000,0.95,0.2
5,256,GA,349,5.31E+08,1000,0.5,0.1
5,256,GA,349.8,5.58E+08,1000,0.5,0.2
5,256,GA,349.8,6.87E+08,1000,0.75,0.1
5,256,GA,351,7.04E+08,1000,0.75,0.2
5,256,GA,353.8,8.14E+08,1000,0.95,0.1
5,256,GA,346.4,8.26E+08,1000,0.95,0.2
5,256,GA,354.8,1.21E+09,2000,0.5,0.1
5,256,GA,355.4,1.25E+09,2000,0.5,0.2
5,256,GA,360.4,1.52E+09,2000,0.75,0.1
5,256,GA,356.4,1.55E+09,2000,0.75,0.2
5,256,GA,358.2,1.80E+09,2000,0.95,0.1
5,256,GA,353.6,1.83E+09,2000,0.95,0.2
5,256,GA,363.6,1.87E+09,3000,0.5,0.1
5,256,GA,360.2,1.98E+09,3000,0.5,0.2
5,256,GA,363,2.39E+09,3000,0.75,0.1
5,256,GA,358.2,2.43E+09,3000,0.75,0.2
5,256,GA,364,2.81E+09,3000,0.95,0.1
5,256,GA,361.4,2.81E+09,3000,0.95,0.2
5,512,GA,378.6,9.84E+08,1000,0.5,0.1
5,512,GA,372.4,1.05E+09,1000,0.5,0.2
5,512,GA,378.8,1.30E+09,1000,0.75,0.1
5,512,GA,381.2,1.34E+09,1000,0.75,0.2
5,512,GA,384.4,1.54E+09,1000,0.95,0.1
5,512,GA,378.6,1.58E+09,1000,0.95,0.2
5,512,GA,389.6,2.30E+09,2000,0.5,0.1
5,512,GA,383.6,2.40E+09,2000,0.5,0.2
5,512,GA,388,2.92E+09,2000,0.75,0.1
5,512,GA,382.4,3.00E+09,2000,0.75,0.2
5,512,GA,390.4,3.43E+09,2000,0.95,0.1
5,512,GA,383.8,3.48E+09,2000,0.95,0.2
5,512,GA,398.4,3.56E+09,3000,0.5,0.1
5,512,GA,390.6,3.74E+09,3000,0.5,0.2
5,512,GA,392.2,4.58E+09,3000,0.75,0.1
5,512,GA,384.8,4.70E+09,3000,0.75,0.2
5,512,GA,391.2,5.35E+09,3000,0.95,0.1
5,512,GA,384,5.46E+09,3000,0.95,0.2
1,1024,GA,421,6.92E+09,3000,0.5,0.1
