Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Initial Temp,Decay
5,1,SA,0.03505339891220314,134460.0,0.1,0.09
5,1,SA,0.03407789387433001,2300.0,0.1,0.9
5,1,SA,0.03560647638307078,2220.0,0.1,0.999
5,1,SA,0.036026367083144994,6060.0,0.1,0.9999
5,1,SA,0.03383549647664839,2600.0,1.0,0.09
5,1,SA,0.03491554472450633,2520.0,1.0,0.9
5,1,SA,0.03561561784823799,4120.0,1.0,0.999
5,1,SA,0.03573971131420745,5140.0,1.0,0.9999
5,1,SA,0.033900877402581076,2440.0,10.0,0.09
5,1,SA,0.034089553038314596,2300.0,10.0,0.9
5,1,SA,0.035328991894122995,2240.0,10.0,0.999
5,1,SA,0.03513652366807336,2140.0,10.0,0.9999
5,1,SA,0.0349691660968144,2240.0,100.0,0.09
5,1,SA,0.035396839357779236,2160.0,100.0,0.9
5,1,SA,0.03544653756785511,2280.0,100.0,0.999
5,1,SA,0.03463999589254677,2220.0,100.0,0.9999
5,1,SA,0.0351200307329018,3360.0,1000.0,0.09
5,1,SA,0.035448898375725915,2200.0,1000.0,0.9
5,1,SA,0.035250471215579095,3460.0,1000.0,0.999
5,1,SA,0.03512964335991475,2100.0,1000.0,0.9999
5,1,SA,0.03576197350444867,2160.0,10000.0,0.09
5,1,SA,0.036696011054781694,2160.0,10000.0,0.9
5,1,SA,0.03540085449275406,2100.0,10000.0,0.999
5,1,SA,0.03414582689036836,2180.0,10000.0,0.9999
5,2,SA,0.035963745711422454,3060.0,0.1,0.09
5,2,SA,0.03633404454593743,3020.0,0.1,0.9
5,2,SA,0.035828389441794284,2740.0,0.1,0.999
5,2,SA,0.03518391655914584,2740.0,0.1,0.9999
5,2,SA,0.0364775481587995,2780.0,1.0,0.09
5,2,SA,0.035951817126408714,2620.0,1.0,0.9
5,2,SA,0.035018690752369505,2940.0,1.0,0.999
5,2,SA,0.03479983268628607,4600.0,1.0,0.9999
5,2,SA,0.03609224184495154,4700.0,10.0,0.09
5,2,SA,0.03619706076183628,2700.0,10.0,0.9
5,2,SA,0.0353364666838302,2640.0,10.0,0.999
5,2,SA,0.03530428757272961,2640.0,10.0,0.9999
5,2,SA,0.03468428784263345,2680.0,100.0,0.09
5,2,SA,0.03451709454036717,3320.0,100.0,0.9
5,2,SA,0.034098256657852016,2900.0,100.0,0.999
5,2,SA,0.035948515683797456,5460.0,100.0,0.9999
5,2,SA,0.03512191801658108,2320.0,1000.0,0.09
5,2,SA,0.03547592975553025,2240.0,1000.0,0.9
5,2,SA,0.034353262554572064,2220.0,1000.0,0.999
5,2,SA,0.03517458010302115,2320.0,1000.0,0.9999
5,2,SA,0.03493770378307095,2240.0,10000.0,0.09
5,2,SA,0.03392842871749781,2380.0,10000.0,0.9
5,2,SA,0.03467673709179597,2400.0,10000.0,0.999
5,2,SA,0.03549775077632722,2280.0,10000.0,0.9999
5,4,SA,0.035797900102355264,3100.0,0.1,0.09
5,4,SA,0.035128481676987504,3060.0,0.1,0.9
5,4,SA,0.03474398966498758,3120.0,0.1,0.999
5,4,SA,0.03579224034475188,3120.0,0.1,0.9999
5,4,SA,0.03458114175323786,10920.0,1.0,0.09
5,4,SA,0.03575048169506158,3080.0,1.0,0.9
5,4,SA,0.035505303929628564,3040.0,1.0,0.999
5,4,SA,0.03474974906218918,2980.0,1.0,0.9999
5,4,SA,0.035818695953796664,3080.0,10.0,0.09
5,4,SA,0.03586907672843185,3040.0,10.0,0.9
5,4,SA,0.03487626164099512,3200.0,10.0,0.999
5,4,SA,0.03413840424851224,3020.0,10.0,0.9999
5,4,SA,0.034579377473519295,2960.0,100.0,0.09
5,4,SA,0.0360234818975663,3200.0,100.0,0.9
5,4,SA,0.03545011794001406,3060.0,100.0,0.999
5,4,SA,0.03544644419601826,3480.0,100.0,0.9999
5,4,SA,0.03637379664423805,2980.0,1000.0,0.09
5,4,SA,0.035401063325433156,3000.0,1000.0,0.9
5,4,SA,0.034798693128610274,2920.0,1000.0,0.999
5,4,SA,0.03674460449791143,3080.0,1000.0,0.9999
5,4,SA,0.036152710591644946,2980.0,10000.0,0.09
5,4,SA,0.03423582629458373,3120.0,10000.0,0.9
5,4,SA,0.03670996186465901,2940.0,10000.0,0.999
5,4,SA,0.033983344049000504,3080.0,10000.0,0.9999
5,8,SA,0.03765331072770558,5180.0,0.1,0.09
5,8,SA,0.034854214895790304,4620.0,0.1,0.9
5,8,SA,0.035213294722445304,4720.0,0.1,0.999
5,8,SA,0.03653087854935355,4580.0,0.1,0.9999
5,8,SA,0.03739598144663765,4980.0,1.0,0.09
5,8,SA,0.035839351087623504,4580.0,1.0,0.9
5,8,SA,0.03686943450976685,4620.0,1.0,0.999
5,8,SA,0.03604194713938917,4500.0,1.0,0.9999
5,8,SA,0.035112095664985375,4640.0,10.0,0.09
5,8,SA,0.03560371399149998,4440.0,10.0,0.9
5,8,SA,0.03423219672421267,4600.0,10.0,0.999
5,8,SA,0.0347011282726582,4660.0,10.0,0.9999
5,8,SA,0.036834665693315866,4720.0,100.0,0.09
5,8,SA,0.03478502737601914,4420.0,100.0,0.9
5,8,SA,0.03690085923248314,6020.0,100.0,0.999
5,8,SA,0.03545849279649991,4720.0,100.0,0.9999
5,8,SA,0.0371597068816413,4600.0,1000.0,0.09
5,8,SA,0.03386310350013531,4600.0,1000.0,0.9
5,8,SA,0.03567633542700883,4620.0,1000.0,0.999
5,8,SA,0.03516578148375586,4580.0,1000.0,0.9999
5,8,SA,0.034733776968391306,4760.0,10000.0,0.09
5,8,SA,0.03525910679969235,4740.0,10000.0,0.9
5,8,SA,0.03517327299259493,4500.0,10000.0,0.999
5,8,SA,0.03504349184244499,4520.0,10000.0,0.9999
5,16,SA,0.03777781416810099,9720.0,0.1,0.09
5,16,SA,0.03632900678182131,7800.0,0.1,0.9
5,16,SA,0.03498936266658371,14920.0,0.1,0.999
5,16,SA,0.03486182944503632,7840.0,0.1,0.9999
5,16,SA,0.04004693244687214,9100.0,1.0,0.09
5,16,SA,0.03325759638825691,7620.0,1.0,0.9
5,16,SA,0.03539440538986724,10540.0,1.0,0.999
5,16,SA,0.035205466258128405,7580.0,1.0,0.9999
5,16,SA,0.03721955671873748,8820.0,10.0,0.09
5,16,SA,0.03332762470951301,9600.0,10.0,0.9
5,16,SA,0.03441831691055299,7500.0,10.0,0.999
5,16,SA,0.0345483934661596,9500.0,10.0,0.9999
5,16,SA,0.038704640197092355,10360.0,100.0,0.09
5,16,SA,0.03402536198242816,7560.0,100.0,0.9
5,16,SA,0.03428468937746485,7880.0,100.0,0.999
5,16,SA,0.036711254554379534,7500.0,100.0,0.9999
5,16,SA,0.03763146025394548,8660.0,1000.0,0.09
5,16,SA,0.036029374295665925,7820.0,1000.0,0.9
5,16,SA,0.03385299001522476,7700.0,1000.0,0.999
5,16,SA,0.03473709579919025,7920.0,1000.0,0.9999
5,16,SA,0.037108979012885415,8780.0,10000.0,0.09
5,16,SA,0.03515851824169354,7400.0,10000.0,0.9
5,16,SA,0.03523972736730655,7640.0,10000.0,0.999
5,16,SA,0.0371582804789773,8140.0,10000.0,0.9999
5,32,SA,0.04267020327745341,18420.0,0.1,0.09
5,32,SA,0.03491181717673268,13860.0,0.1,0.9
5,32,SA,0.035764504493398755,13540.0,0.1,0.999
5,32,SA,0.03613711348892161,13680.0,0.1,0.9999
5,32,SA,0.041956059855177516,17940.0,1.0,0.09
5,32,SA,0.03486420319248071,23560.0,1.0,0.9
5,32,SA,0.036802240166204724,12420.0,1.0,0.999
5,32,SA,0.03601734590067621,14420.0,1.0,0.9999
5,32,SA,0.04190659087502386,18720.0,10.0,0.09
5,32,SA,0.035584395307566304,16760.0,10.0,0.9
5,32,SA,0.036553005019879146,14000.0,10.0,0.999
5,32,SA,0.03462403129431214,12680.0,10.0,0.9999
5,32,SA,0.0401809329434045,17740.0,100.0,0.09
5,32,SA,0.03638620818389589,12780.0,100.0,0.9
5,32,SA,0.034963793152748966,12620.0,100.0,0.999
5,32,SA,0.03559718270631416,13040.0,100.0,0.9999
5,32,SA,0.03963735148227741,16920.0,1000.0,0.09
5,32,SA,0.03496811126201672,12480.0,1000.0,0.9
5,32,SA,0.03517858078969812,19700.0,1000.0,0.999
5,32,SA,0.036047257137429116,14420.0,1000.0,0.9999
5,32,SA,0.04119945255812748,18060.0,10000.0,0.09
5,32,SA,0.034351419269524994,14880.0,10000.0,0.9
5,32,SA,0.03462087539575888,12540.0,10000.0,0.999
