Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Samples,Keep Pct
5,1,MIMIC,4871.6,5.60E+08,500,0.1
5,1,MIMIC,4866.2,4.89E+08,500,0.2
5,1,MIMIC,4867.2,4.96E+08,500,0.3
5,1,MIMIC,4870,6.20E+08,1000,0.1
5,1,MIMIC,4866.6,6.46E+08,1000,0.2
5,1,MIMIC,4866.6,6.61E+08,1000,0.3
5,1,MIMIC,4869.4,8.97E+08,2000,0.1
5,1,MIMIC,4867.8,9.69E+08,2000,0.2
5,1,MIMIC,4871,1.01E+09,2000,0.3
5,2,MIMIC,4877,6.73E+08,500,0.1
5,2,MIMIC,4872,6.83E+08,500,0.2
5,2,MIMIC,4869,7.09E+08,500,0.3
5,2,MIMIC,4874.2,8.63E+08,1000,0.1
5,2,MIMIC,4871.6,9.17E+08,1000,0.2
5,2,MIMIC,4867.2,9.63E+08,1000,0.3
5,2,MIMIC,4874.6,1.27E+09,2000,0.1
5,2,MIMIC,4869.6,1.36E+09,2000,0.2
5,2,MIMIC,4867.4,1.43E+09,2000,0.3
5,4,MIMIC,4882.8,1.01E+09,500,0.1
5,4,MIMIC,4877.8,1.09E+09,500,0.2
5,4,MIMIC,4873.8,1.14E+09,500,0.3
5,4,MIMIC,4884.4,1.33E+09,1000,0.1
5,4,MIMIC,4876.6,1.46E+09,1000,0.2
5,4,MIMIC,4871.2,1.55E+09,1000,0.3
5,4,MIMIC,4883.4,1.97E+09,2000,0.1
5,4,MIMIC,4870.6,2.16E+09,2000,0.2
5,4,MIMIC,4871.6,2.33E+09,2000,0.3
5,8,MIMIC,4892.2,1.50E+09,500,0.1
5,8,MIMIC,4889,1.78E+09,500,0.2
5,8,MIMIC,4884.2,1.96E+09,500,0.3
5,8,MIMIC,4898.4,2.13E+09,1000,0.1
5,8,MIMIC,4889.6,2.45E+09,1000,0.2
5,8,MIMIC,4879,2.69E+09,1000,0.3
5,8,MIMIC,4900.2,3.12E+09,2000,0.1
5,8,MIMIC,4878.2,3.77E+09,2000,0.2
5,8,MIMIC,4873.6,4.23E+09,2000,0.3
5,16,MIMIC,4904.4,2.17E+09,500,0.1
5,16,MIMIC,4902.6,2.66E+09,500,0.2
5,16,MIMIC,4899.2,3.09E+09,500,0.3
5,16,MIMIC,4908.8,3.19E+09,1000,0.1
5,16,MIMIC,4904.8,3.99E+09,1000,0.2
5,16,MIMIC,4900.2,4.54E+09,1000,0.3
5,16,MIMIC,4913.4,4.95E+09,2000,0.1
5,16,MIMIC,4901.4,6.30E+09,2000,0.2
5,16,MIMIC,4890.2,7.29E+09,2000,0.3
5,32,MIMIC,4909.8,3.31E+09,500,0.1
5,32,MIMIC,4910.4,3.99E+09,500,0.2
5,32,MIMIC,4908,4.40E+09,500,0.3
5,32,MIMIC,4910.8,4.74E+09,1000,0.1
5,32,MIMIC,4911.8,5.75E+09,1000,0.2
5,32,MIMIC,4911.6,7.31E+09,1000,0.3
5,32,MIMIC,4921,7.70E+09,2000,0.1
5,32,MIMIC,4914.8,9.56E+09,2000,0.2
5,32,MIMIC,4914.6,1.20E+10,2000,0.3
5,64,MIMIC,4906.8,5.26E+09,500,0.1
5,64,MIMIC,4906,6.18E+09,500,0.2
5,64,MIMIC,4907.4,7.11E+09,500,0.3
5,64,MIMIC,4913.6,7.83E+09,1000,0.1
5,64,MIMIC,4909.4,9.19E+09,1000,0.2
5,64,MIMIC,4910.8,1.07E+10,1000,0.3
5,64,MIMIC,4917.4,1.26E+10,2000,0.1
5,64,MIMIC,4913.6,1.54E+10,2000,0.2
5,64,MIMIC,4914,1.76E+10,2000,0.3
5,128,MIMIC,4908.6,9.64E+09,500,0.1
5,128,MIMIC,4908.8,1.08E+10,500,0.2
5,128,MIMIC,4904.6,1.22E+10,500,0.3
5,128,MIMIC,4911.8,1.38E+10,1000,0.1
5,128,MIMIC,4914.2,1.59E+10,1000,0.2
5,128,MIMIC,4911.6,1.81E+10,1000,0.3
5,128,MIMIC,4917.4,2.24E+10,2000,0.1
5,128,MIMIC,4912,2.62E+10,2000,0.2
5,128,MIMIC,4914.2,3.03E+10,2000,0.3
5,256,MIMIC,4911.2,1.80E+10,500,0.1
5,256,MIMIC,4909,1.94E+10,500,0.2
5,256,MIMIC,4905.2,2.12E+10,500,0.3
5,256,MIMIC,4912,2.59E+10,1000,0.1
5,256,MIMIC,4911.2,2.91E+10,1000,0.2
5,256,MIMIC,4911.2,3.17E+10,1000,0.3
5,256,MIMIC,4914.4,4.04E+10,2000,0.1
5,256,MIMIC,4916.4,4.73E+10,2000,0.2
5,256,MIMIC,4914.4,5.22E+10,2000,0.3
5,512,MIMIC,4909,3.38E+10,500,0.1
5,512,MIMIC,4905.2,3.72E+10,500,0.2
5,512,MIMIC,4905.6,4.08E+10,500,0.3
5,512,MIMIC,4917,4.92E+10,1000,0.1
5,512,MIMIC,4911.8,5.54E+10,1000,0.2
5,512,MIMIC,4909.6,5.80E+10,1000,0.3
5,512,MIMIC,4916,8.00E+10,2000,0.1
5,512,MIMIC,4913.2,8.85E+10,2000,0.2
5,512,MIMIC,4911,1.00E+11,2000,0.3
5,1024,MIMIC,4915.6,1.64E+11,2000,0.1
5,2048,MIMIC,4919.6,3.18E+11,2000,0.1
