Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Restart Threshold
5,1,RHC,0.041340596460723036,411380.0,100
5,2,RHC,0.042034276405894064,61960.0,100
5,4,RHC,0.04054574436950055,47560.0,100
5,8,RHC,0.0417080024051313,75520.0,100
5,16,RHC,0.047574406927161604,104360.0,100
5,32,RHC,0.049324724833953115,116100.0,100
5,64,RHC,0.054201228810700386,197620.0,100
5,128,RHC,0.06302372061897979,308400.0,100
5,256,RHC,0.07256402598519554,589040.0,100
5,512,RHC,0.09073911815635625,384900.0,100
5,1024,RHC,0.09363768215574671,583680.0,100
5,2048,RHC,0.09981615196266815,1432160.0,100
5,4096,RHC,0.10630235161187251,2173580.0,100
5,8192,RHC,0.11409793593723756,4372520.0,100
5,16384,RHC,0.11418888016074155,6029700.0,100
